A1CF
ACTB
ACTR3B
ACTR6
ADNP
AEBP2
AICDA
AIRE
ALKBH1
ANKRD32
ANP32A
ANP32B
ANP32E
APBB1
APEX1
APOBEC1
APOBEC2
APOBEC3A
APOBEC3B
APOBEC3C
APOBEC3D
APOBEC3F
APOBEC3G
APOBEC3H
ARID2
ARID4A
ARID4B
ARNTL
ARRB1
ASF1A
ASF1B
ASH2L
ASXL1
ASXL2
ASXL3
ATAD2
ATAD2B
ATF2
ATF7IP
ATM
ATN1
ATR
ATRX
ATXN7
ATXN7L3
AURKA
AURKB
AURKC
BABAM1
BAHD1
BANP
BAP1
BARD1
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BCOR
BCORL1
BMI1
BPTF
BRCA1
BRCA2
BRCC3
BRD1
BRD2
BRD3
BRD4
BRD7
BRD8
BRD9
BRDT
BRE
BRMS1
BRMS1L
BRPF1
BRPF3
BRWD1
BRWD3
BUB1
C11orf30
C14orf169
C17orf49
CBX1
CBX2
CBX3
CBX4
CBX5
CBX6
CBX7
CBX8
CCDC101
CDC6
CDC73
CDK1
CDK17
CDK2
CDK3
CDK5
CDK7
CDK9
CDY1B
CDY2A
CDY2B
CDYL2
CECR2
CENPC
CHAF1A
CHAF1B
CHD1
CHD1L
CHD2
CHD5
CHD6
CHD7
CHD8
CHD9
CHEK1
CHTOP
CHUK
CIR1
CIT
CLNS1A
CLOCK
CRB2
CSNK2A1
CSRP2BP
CTBP1
CTBP2
CTCF
CTCFL
CTR9
CUL1
CUL2
CUL3
CUL4A
CUL4B
CUL5
CXXC1
DAPK3
DAXX
DDB1
DDB2
DDX21
DDX50
DEK
DMAP1
DNAJC1
DNAJC2
DND1
DNMT3L
DNTTIP2
DPF1
DPF2
DPF3
DPPA3
DPY30
DR1
DTX3L
DZIP3
E2F6
EED
EID1
EID2
EID2B
ELP2
ELP4
ELP5
ELP6
ENY2
EP400
EPC1
EPC2
ERBB4
ERCC6
EXOSC1
EXOSC2
EXOSC3
EXOSC4
EXOSC5
EXOSC6
EXOSC7
EXOSC8
EXOSC9
EYA1
EYA2
EYA3
EYA4
FAM175A
FAM175B
FBL
FBRS
FBRSL1
FOXA1
FOXO1
FOXP1
FOXP2
FOXP3
FOXP4
GADD45A
GADD45B
GADD45G
GATAD1
GATAD2A
GATAD2B
GFI1
GFI1B
GLYR1
GSE1
GSG2
GTF2I
HCFC1
HCFC2
HDGF
HELLS
HIRA
HIRIP3
HJURP
HLCS
HLTF
HMG20A
HMG20B
HMGB1
HMGN1
HMGN2
HMGN3
HMGN4
HMGN5
HP1BP3
HSPA1A
HSPA1B
HUWE1
IKBKAP
IKZF1
IKZF3
JADE1
JADE2
JADE3
JAK2
JDP2
KANSL1
KANSL2
KANSL3
KDM4E
KEAP1
L3MBTL1
L3MBTL2
L3MBTL3
L3MBTL4
LAS1L
LBR
LEO1
LRWD1
MAP3K7
MAPKAPK3
MASTL
MAX
MAZ
MBD5
MBD6
MBIP
MBTD1
MDC1
MEAF6
MEN1
MGA
MLLT1
MLLT10
MLLT6
MORF4L1
MORF4L2
MOV10
MPHOSPH8
MRGBP
MSH6
MSL1
MSL2
MSL3
MST1
MTF2
MUM1
MYBBP1A
MYO1C
MYSM1
NAA60
NAP1L1
NAP1L2
NAP1L4
NASP
NBN
NCL
NCOA2
NCOA6
NCOR1
NCOR2
NEK6
NEK9
NFYB
NFYC
NIPBL
NOC2L
NPAS2
NPM1
NPM2
NSL1
OGT
PADI1
PADI2
PADI3
PADI4
PAF1
PAGR1
PAK2
PARG
PARP1
PARP2
PARP3
PAXIP1
PBK
PBRM1
PCGF1
PCGF2
PCGF3
PCGF5
PCGF6
PCNA
PDP1
PELP1
PHC1
PHC2
PHC3
PHF1
PHF10
PHF12
PHF13
PHF14
PHF19
PHF20
PHF20L1
PHF21A
PHIP
PIWIL4
PKM
PKN1
POGZ
POLE3
PPARGC1A
PPM1G
PPP2CA
PPP4C
PPP4R2
PRDM1
PRDM11
PRDM12
PRDM13
PRDM14
PRDM16
PRDM4
PRDM5
PRDM6
PRDM7
PRDM8
PRKAA1
PRKAA2
PRKAB1
PRKAB2
PRKAG1
PRKAG2
PRKAG3
PRKCA
PRKCB
PRKCD
PRKDC
PRPF31
PRR14
PSIP1
RAD51
RAD54B
RAD54L
RAD54L2
RAG1
RAG2
RAI1
RARA
RB1
RBBP5
RBX1
RCC1
RCOR1
RCOR3
REST
RLIM
RMI1
RNF168
RNF2
RNF20
RNF40
RNF8
RPS6KA3
RPS6KA4
RPS6KA5
RRP8
RSF1
RYBP
SAFB
SAP130
SAP18
SAP25
SAP30
SAP30L
SATB1
SATB2
SCMH1
SCML2
SCML4
SENP1
SENP3
SET
SF3B1
SF3B3
SFMBT1
SFMBT2
SFPQ
SHPRH
SIN3A
SIN3B
SKP1
SMARCA2
SMARCAD1
SMARCAL1
SMARCB1
SMARCE1
SMEK1
SMEK2
SNAI2
SP1
SP100
SP140
SPEN
SPOP
SRCAP
SRSF1
SRSF3
SS18L1
SS18L2
SSRP1
STK4
SUDS3
SUPT16H
SUPT3H
SUPT6H
SUPT7L
SUZ12
SYNCRIP
TADA1
TADA2A
TADA2B
TADA3
TAF10
TAF12
TAF1L
TAF2
TAF3
TAF4
TAF5
TAF5L
TAF6
TAF6L
TAF7
TAF8
TAF9
TAF9B
TBL1XR1
TDG
TDRD3
TDRD7
TDRKH
TET3
TEX10
TFDP1
TLE1
TLE2
TLE4
TLK1
TLK2
TNP1
TNP2
TONSL
TOP2A
TOP2B
TP53
TP53BP1
TRIM16
TRIM24
TRIM27
TRIM28
TRIM33
TRRAP
TSSK6
TTK
TYW5
UBE2A
UBE2B
UBE2D1
UBE2D3
UBE2E1
UBE2H
UBE2N
UBE2T
UBN1
UBR2
UBR5
UBR7
UHRF1
UHRF2
UIMC1
USP11
USP12
USP15
USP16
USP17L2
USP21
USP22
USP3
USP36
USP44
USP46
USP49
USP7
VDR
VPS72
VRK1
WAC
WDR5
WDR77
WDR82
WSB2
YAF2
YEATS2
YEATS4
YWHAB
YWHAE
YWHAZ
ZBTB16
ZBTB33
ZBTB7C
ZCWPW1
ZFP57
ZGPAT
ZHX1
ZMYM2
ZMYM3
ZMYND11
ZMYND8
ZNF217
ZNF516
ZNF532
ZNF541
ZNF592
ZNF687
ZNF711
ZNHIT1
ZRANB3
ZZZ3
